partition,method,count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,failure_rate_gt_30_deg,failure_rate_gt_60_deg,failure_rate_gt_90_deg,independent_object_count,object_equal_mean_gce_deg,object_bootstrap_ci95_gce_deg,object_equal_top1_acc,object_bootstrap_ci95_top1_acc,worst_object_mean_gce_deg
held,operational_6ch_1nn,1200,27.2531331637475,0.0,120.00000000000001,138.59037789072917,0.705,0.2675,0.19,0.14166666666666666,20,27.2531331637475,"[16.187858709327667, 39.542842204173226]",0.705,"[0.5833333333333335, 0.8158333333333333]",85.01482582747539
held,operational_6ch_global_phase_invariant_1nn,1200,28.367382437765617,0.0,120.00000000000001,138.59037789072914,0.695,0.2808333333333333,0.20833333333333334,0.14333333333333334,20,28.367382437765606,"[17.239919919995934, 40.75007124020085]",0.6950000000000001,"[0.5708333333333334, 0.8066666666666666]",82.13263463385081
held,operational_6ch_range_phase_invariant_1nn,1200,30.945200595702516,0.0,120.00000000000001,138.59037789072917,0.67,0.30666666666666664,0.24166666666666667,0.155,20,30.945200595702524,"[19.73734415228417, 42.94506389936939]",0.6699999999999999,"[0.5475000000000001, 0.7849999999999999]",80.53604588831014
held,real_coherent_1nn,1200,34.425446825588075,0.0,128.68218745348946,179.99999999999997,0.7008333333333333,0.29083333333333333,0.23916666666666667,0.18416666666666667,20,34.425446825588075,"[23.365920621917173, 46.272395272108454]",0.7008333333333333,"[0.5850000000000001, 0.8083541666666679]",90.02056297155804
held,global_phase_invariant_1nn,1200,33.57322934677931,0.0,128.68218745348943,179.99999999999997,0.7,0.2941666666666667,0.23833333333333334,0.17666666666666667,20,33.57322934677931,"[22.229312610340294, 45.93808478842272]",0.7,"[0.5750000000000001, 0.8141666666666666]",93.70393772064655
held,global_phase_invariant_dev_selected_topk,1200,35.893018349657034,0.0,130.5053503274186,179.99999999999997,0.6758333333333333,0.30666666666666664,0.2625,0.19166666666666668,20,35.893018349657034,"[25.727499648213602, 47.17321367987767]",0.6758333333333333,"[0.5591666666666666, 0.7808333333333334]",97.8840951515262
held,range_phase_invariant_1nn,1200,33.50896603993355,0.0,128.68218745348943,179.99999999999997,0.6958333333333333,0.29583333333333334,0.24083333333333334,0.17416666666666666,20,33.50896603993355,"[22.146448240015452, 45.76064079787321]",0.6958333333333333,"[0.5691666666666666, 0.8133333333333332]",90.70393772064655
held,range_phase_invariant_dev_selected_topk,1200,35.9376173970491,0.0,128.68218745348946,179.99999999999997,0.665,0.30583333333333335,0.2633333333333333,0.1925,20,35.937617397049095,"[25.458706188512274, 47.50343853392556]",0.6649999999999999,"[0.5383125, 0.78]",99.7370609858991
id,operational_6ch_1nn,200,33.71520268180721,0.0,128.68218745348946,151.04497562814015,0.625,0.305,0.22,0.18,20,33.71520268180721,"[18.10688414196733, 50.91182898501236]",0.6250000000000001,"[0.4699999999999999, 0.7700000000000001]",110.86617696173175
id,operational_6ch_global_phase_invariant_1nn,200,35.867261917544546,0.0,128.68218745348946,151.04497562814015,0.595,0.34,0.25,0.19,20,35.867261917544546,"[21.09650709732579, 51.76252042685065]",0.5950000000000001,"[0.445, 0.7350000000000001]",98.85457689943043
id,operational_6ch_range_phase_invariant_1nn,200,39.18498282885443,0.0,128.68218745348946,151.04497562814015,0.57,0.37,0.28,0.205,20,39.18498282885442,"[24.17613602891467, 55.218612685836476]",0.5700000000000001,"[0.425, 0.7100000000000001]",122.26382168629316
id,real_coherent_1nn,200,52.372570402004946,0.0,179.99999999999997,180.0,0.565,0.43,0.38,0.285,20,52.37257040200494,"[35.521614199151784, 70.78101969435453]",0.5650000000000001,"[0.41500000000000004, 0.7050000000000002]",141.35913829283112
id,global_phase_invariant_1nn,200,51.12302944981875,0.0,179.99999999999997,180.0,0.565,0.43,0.375,0.275,20,51.12302944981875,"[34.85138364472424, 68.66650026397642]",0.5650000000000001,"[0.4149999999999999, 0.7100000000000001]",136.77284396933638
id,global_phase_invariant_dev_selected_topk,200,45.441153379830006,0.0,150.0,179.99999999999997,0.57,0.4,0.33,0.25,20,45.44115337982999,"[36.00503918379667, 55.557636156775246]",0.57,"[0.45999999999999996, 0.675]",90.50928146003426
id,range_phase_invariant_1nn,200,51.12302944981875,0.0,179.99999999999997,180.0,0.565,0.43,0.38,0.27,20,51.12302944981875,"[34.96023778768707, 68.7653296705439]",0.5650000000000001,"[0.41500000000000004, 0.71]",136.77284396933638
id,range_phase_invariant_dev_selected_topk,200,45.395310611677615,0.0,150.0,179.99999999999997,0.57,0.39,0.335,0.26,20,45.395310611677615,"[35.41134424386894, 56.55558655974161]",0.57,"[0.44499999999999995, 0.685]",108.78625454129887
