partition,fold,method,selected_k,sample_path,object_code,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,great_circle_err_deg,top1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi000_hrrp.npz,b827,30.0,0.0,30.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi030_hrrp.npz,b827,30.0,30.0,30.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi060_hrrp.npz,b827,30.0,60.0,30.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi090_hrrp.npz,b827,30.0,90.0,30.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi120_hrrp.npz,b827,30.0,120.0,30.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi150_hrrp.npz,b827,30.0,150.0,30.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi180_hrrp.npz,b827,30.0,180.0,30.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi210_hrrp.npz,b827,30.0,210.0,30.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi240_hrrp.npz,b827,30.0,240.0,30.0,240.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi270_hrrp.npz,b827,30.0,270.0,30.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi300_hrrp.npz,b827,30.0,300.0,30.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti030_pi330_hrrp.npz,b827,30.0,330.0,30.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi000_hrrp.npz,b827,60.0,0.0,60.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi030_hrrp.npz,b827,60.0,30.0,60.0,30.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi060_hrrp.npz,b827,60.0,60.0,60.0,60.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi090_hrrp.npz,b827,60.0,90.0,60.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi120_hrrp.npz,b827,60.0,120.0,60.0,120.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi150_hrrp.npz,b827,60.0,150.0,60.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi180_hrrp.npz,b827,60.0,180.0,60.0,180.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi210_hrrp.npz,b827,60.0,210.0,60.0,210.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi240_hrrp.npz,b827,60.0,240.0,120.0,120.0,128.68218745348943,0
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi270_hrrp.npz,b827,60.0,270.0,60.0,270.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi300_hrrp.npz,b827,60.0,300.0,60.0,300.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti060_pi330_hrrp.npz,b827,60.0,330.0,60.0,330.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi000_hrrp.npz,b827,90.0,0.0,90.0,0.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi030_hrrp.npz,b827,90.0,30.0,60.0,270.0,115.65890627325527,0
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi060_hrrp.npz,b827,90.0,60.0,60.0,270.0,138.59037789072914,0
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi090_hrrp.npz,b827,90.0,90.0,90.0,90.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi120_hrrp.npz,b827,90.0,120.0,90.0,60.0,59.99999999999999,0
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi150_hrrp.npz,b827,90.0,150.0,90.0,150.0,0.0,1
held,1,operational_6ch_1nn,1,samples/b827/pec/b827_pec_ti090_pi180_hrrp.npz,b827,90.0,180.0,90.0,180.0,0.0,1
