arm,arm_display,true_index,pred_index,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,count,true_direction_total,row_rate
frequency,Frequency MLP,0,0,30.0,0.0,30.0,0.0,96,140,0.6857142857142857
frequency,Frequency MLP,0,1,30.0,0.0,30.0,30.0,0,140,0.0
frequency,Frequency MLP,0,2,30.0,0.0,30.0,60.0,0,140,0.0
frequency,Frequency MLP,0,3,30.0,0.0,30.0,90.0,0,140,0.0
frequency,Frequency MLP,0,4,30.0,0.0,30.0,120.0,0,140,0.0
frequency,Frequency MLP,0,5,30.0,0.0,30.0,150.0,0,140,0.0
frequency,Frequency MLP,0,6,30.0,0.0,30.0,180.0,13,140,0.09285714285714286
frequency,Frequency MLP,0,7,30.0,0.0,30.0,210.0,0,140,0.0
frequency,Frequency MLP,0,8,30.0,0.0,30.0,240.0,0,140,0.0
frequency,Frequency MLP,0,9,30.0,0.0,30.0,270.0,0,140,0.0
frequency,Frequency MLP,0,10,30.0,0.0,30.0,300.0,0,140,0.0
frequency,Frequency MLP,0,11,30.0,0.0,30.0,330.0,1,140,0.007142857142857143
frequency,Frequency MLP,0,12,30.0,0.0,60.0,0.0,7,140,0.05
frequency,Frequency MLP,0,13,30.0,0.0,60.0,30.0,1,140,0.007142857142857143
frequency,Frequency MLP,0,14,30.0,0.0,60.0,60.0,0,140,0.0
frequency,Frequency MLP,0,15,30.0,0.0,60.0,90.0,0,140,0.0
frequency,Frequency MLP,0,16,30.0,0.0,60.0,120.0,1,140,0.007142857142857143
frequency,Frequency MLP,0,17,30.0,0.0,60.0,150.0,0,140,0.0
frequency,Frequency MLP,0,18,30.0,0.0,60.0,180.0,12,140,0.08571428571428572
frequency,Frequency MLP,0,19,30.0,0.0,60.0,210.0,0,140,0.0
frequency,Frequency MLP,0,20,30.0,0.0,60.0,240.0,0,140,0.0
frequency,Frequency MLP,0,21,30.0,0.0,60.0,270.0,0,140,0.0
frequency,Frequency MLP,0,22,30.0,0.0,60.0,300.0,0,140,0.0
frequency,Frequency MLP,0,23,30.0,0.0,60.0,330.0,0,140,0.0
frequency,Frequency MLP,0,24,30.0,0.0,90.0,0.0,0,140,0.0
frequency,Frequency MLP,0,25,30.0,0.0,90.0,30.0,0,140,0.0
frequency,Frequency MLP,0,26,30.0,0.0,90.0,60.0,0,140,0.0
frequency,Frequency MLP,0,27,30.0,0.0,90.0,90.0,0,140,0.0
frequency,Frequency MLP,0,28,30.0,0.0,90.0,120.0,0,140,0.0
frequency,Frequency MLP,0,29,30.0,0.0,90.0,150.0,0,140,0.0
frequency,Frequency MLP,0,30,30.0,0.0,90.0,180.0,0,140,0.0
frequency,Frequency MLP,0,31,30.0,0.0,90.0,210.0,0,140,0.0
frequency,Frequency MLP,0,32,30.0,0.0,90.0,240.0,0,140,0.0
frequency,Frequency MLP,0,33,30.0,0.0,90.0,270.0,0,140,0.0
frequency,Frequency MLP,0,34,30.0,0.0,90.0,300.0,0,140,0.0
frequency,Frequency MLP,0,35,30.0,0.0,90.0,330.0,0,140,0.0
frequency,Frequency MLP,0,36,30.0,0.0,120.0,0.0,0,140,0.0
frequency,Frequency MLP,0,37,30.0,0.0,120.0,30.0,0,140,0.0
frequency,Frequency MLP,0,38,30.0,0.0,120.0,60.0,0,140,0.0
frequency,Frequency MLP,0,39,30.0,0.0,120.0,90.0,0,140,0.0
