direction_index,theta_deg,phi_deg,display
0,30.0,0.0,"(30,0)"
1,30.0,30.0,"(30,30)"
2,30.0,60.0,"(30,60)"
3,30.0,90.0,"(30,90)"
4,30.0,120.0,"(30,120)"
5,30.0,150.0,"(30,150)"
6,30.0,180.0,"(30,180)"
7,30.0,210.0,"(30,210)"
8,30.0,240.0,"(30,240)"
9,30.0,270.0,"(30,270)"
10,30.0,300.0,"(30,300)"
11,30.0,330.0,"(30,330)"
12,60.0,0.0,"(60,0)"
13,60.0,30.0,"(60,30)"
14,60.0,60.0,"(60,60)"
15,60.0,90.0,"(60,90)"
16,60.0,120.0,"(60,120)"
17,60.0,150.0,"(60,150)"
18,60.0,180.0,"(60,180)"
19,60.0,210.0,"(60,210)"
20,60.0,240.0,"(60,240)"
21,60.0,270.0,"(60,270)"
22,60.0,300.0,"(60,300)"
23,60.0,330.0,"(60,330)"
24,90.0,0.0,"(90,0)"
25,90.0,30.0,"(90,30)"
26,90.0,60.0,"(90,60)"
27,90.0,90.0,"(90,90)"
28,90.0,120.0,"(90,120)"
29,90.0,150.0,"(90,150)"
30,90.0,180.0,"(90,180)"
31,90.0,210.0,"(90,210)"
32,90.0,240.0,"(90,240)"
33,90.0,270.0,"(90,270)"
34,90.0,300.0,"(90,300)"
35,90.0,330.0,"(90,330)"
36,120.0,0.0,"(120,0)"
37,120.0,30.0,"(120,30)"
38,120.0,60.0,"(120,60)"
39,120.0,90.0,"(120,90)"
40,120.0,120.0,"(120,120)"
41,120.0,150.0,"(120,150)"
42,120.0,180.0,"(120,180)"
43,120.0,210.0,"(120,210)"
44,120.0,240.0,"(120,240)"
45,120.0,270.0,"(120,270)"
46,120.0,300.0,"(120,300)"
47,120.0,330.0,"(120,330)"
48,150.0,0.0,"(150,0)"
49,150.0,30.0,"(150,30)"
50,150.0,60.0,"(150,60)"
51,150.0,90.0,"(150,90)"
52,150.0,120.0,"(150,120)"
53,150.0,150.0,"(150,150)"
54,150.0,180.0,"(150,180)"
55,150.0,210.0,"(150,210)"
56,150.0,240.0,"(150,240)"
57,150.0,270.0,"(150,270)"
58,150.0,300.0,"(150,300)"
59,150.0,330.0,"(150,330)"
