arm,arm_display,atom,count,rate,tolerance_deg
frequency,Frequency MLP,exact_0deg,5420,0.6452380952380953,0.001
frequency,Frequency MLP,exact_30deg,294,0.035,0.001
frequency,Frequency MLP,exact_60deg,432,0.05142857142857143,0.001
frequency,Frequency MLP,exact_90deg,135,0.01607142857142857,0.001
frequency,Frequency MLP,exact_120deg,356,0.04238095238095238,0.001
frequency,Frequency MLP,exact_150deg,105,0.0125,0.001
frequency,Frequency MLP,exact_180deg,580,0.06904761904761905,0.001
frequency,Frequency MLP,other_grid_angle,1078,0.12833333333333333,0.001
rect_ifft,Rect-IFFT MLP,exact_0deg,5371,0.6394047619047619,0.001
rect_ifft,Rect-IFFT MLP,exact_30deg,323,0.03845238095238095,0.001
rect_ifft,Rect-IFFT MLP,exact_60deg,402,0.047857142857142855,0.001
rect_ifft,Rect-IFFT MLP,exact_90deg,123,0.014642857142857143,0.001
rect_ifft,Rect-IFFT MLP,exact_120deg,359,0.042738095238095235,0.001
rect_ifft,Rect-IFFT MLP,exact_150deg,103,0.012261904761904762,0.001
rect_ifft,Rect-IFFT MLP,exact_180deg,552,0.06571428571428571,0.001
rect_ifft,Rect-IFFT MLP,other_grid_angle,1167,0.13892857142857143,0.001
hann_ifft,Hann-IFFT MLP,exact_0deg,4945,0.5886904761904762,0.001
hann_ifft,Hann-IFFT MLP,exact_30deg,377,0.04488095238095238,0.001
hann_ifft,Hann-IFFT MLP,exact_60deg,447,0.053214285714285714,0.001
hann_ifft,Hann-IFFT MLP,exact_90deg,181,0.021547619047619048,0.001
hann_ifft,Hann-IFFT MLP,exact_120deg,394,0.04690476190476191,0.001
hann_ifft,Hann-IFFT MLP,exact_150deg,123,0.014642857142857143,0.001
hann_ifft,Hann-IFFT MLP,exact_180deg,620,0.07380952380952381,0.001
hann_ifft,Hann-IFFT MLP,other_grid_angle,1313,0.15630952380952381,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_0deg,846,0.705,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_30deg,58,0.04833333333333333,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_60deg,52,0.043333333333333335,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_90deg,34,0.028333333333333332,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_120deg,38,0.03166666666666667,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_150deg,20,0.016666666666666666,0.001
strong_1nn,Deterministic 6ch 1-NN,exact_180deg,14,0.011666666666666667,0.001
strong_1nn,Deterministic 6ch 1-NN,other_grid_angle,138,0.115,0.001
