fold,held_object,nearest_train_object,standardized_14d_descriptor_distance,exact_hash_duplicate_with_nearest,train_object_count,held_object_count,train_test_object_overlap,generator_tuple
1,b827,b812,2.2388898388036824,False,15,5,0,b871;bb7d;b827;b905;bbc6
1,b871,b812,2.1944345242382295,False,15,5,0,b871;bb7d;b827;b905;bbc6
1,b905,bb7c,1.5597925773122903,False,15,5,0,b871;bb7d;b827;b905;bbc6
1,bb7d,b97b,5.725684988793014,False,15,5,0,b871;bb7d;b827;b905;bbc6
1,bbc6,b97b,3.516306699732731,False,15,5,0,b871;bb7d;b827;b905;bbc6
2,b7c1,baa9,1.194556745915818,False,15,5,0,b80b;ba0f;b7c1;b9e6;bb7c
2,b80b,b974,1.819456899600568,False,15,5,0,b80b;ba0f;b7c1;b9e6;bb7c
2,b9e6,b812,1.5402642353802258,False,15,5,0,b80b;ba0f;b7c1;b9e6;bb7c
2,ba0f,b97b,4.2246670276543465,False,15,5,0,b80b;ba0f;b7c1;b9e6;bb7c
2,bb7c,b905,1.5597925773122903,False,15,5,0,b80b;ba0f;b7c1;b9e6;bb7c
3,b812,b9e6,1.5402642353802258,False,15,5,0,b943;b97b;b812;bc2c;b974
3,b943,b905,2.0486064044564203,False,15,5,0,b943;b97b;b812;bc2c;b974
3,b974,b905,1.608843774869186,False,15,5,0,b943;b97b;b812;bc2c;b974
3,b97b,b871,2.4115484358691193,False,15,5,0,b943;b97b;b812;bc2c;b974
3,bc2c,bbc6,6.0066189925861675,False,15,5,0,b943;b97b;b812;bc2c;b974
4,b7fd,bb7c,5.350657382538957,False,15,5,0,bb26;b7fd;baa9;b979;b8ed
4,b8ed,b7c1,1.6405893948327868,False,15,5,0,bb26;b7fd;baa9;b979;b8ed
4,b979,b905,5.479827224834408,False,15,5,0,bb26;b7fd;baa9;b979;b8ed
4,baa9,b7c1,1.194556745915818,False,15,5,0,bb26;b7fd;baa9;b979;b8ed
4,bb26,b943,5.623357032358101,False,15,5,0,bb26;b7fd;baa9;b979;b8ed
