arm,arm_display,object_code,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180
frequency,Frequency MLP,b7c1,420,1,7,19.161167351404824,0.0,120.00000762939453,180.0,0.8547619047619047,0.10476190476190476,0.07380952380952381,0.0,0.07380952380952381
frequency,Frequency MLP,b7fd,420,1,7,53.00742434319996,29.99998664855957,130.50535583496094,165.12905883789062,0.4166666666666667,0.28809523809523807,0.09047619047619047,0.007142857142857143,0.047619047619047616
frequency,Frequency MLP,b80b,420,1,7,10.428571364993141,0.0,0.0,180.0,0.9380952380952381,0.05714285714285714,0.05714285714285714,0.0,0.05714285714285714
frequency,Frequency MLP,b812,420,1,7,12.9114744640532,0.0,0.0,180.0,0.9238095238095239,0.07380952380952381,0.06428571428571428,0.0,0.06428571428571428
frequency,Frequency MLP,b827,420,1,7,19.921388251440867,0.0,90.0,180.0,0.8166666666666667,0.09761904761904762,0.06428571428571428,0.0,0.06428571428571428
frequency,Frequency MLP,b871,420,1,7,17.833155577523367,0.0,120.00000762939453,128.6822052001953,0.85,0.10238095238095238,0.047619047619047616,0.0,0.04285714285714286
frequency,Frequency MLP,b8ed,420,1,7,40.85820532526289,0.0,128.68218994140625,180.0,0.5595238095238095,0.2357142857142857,0.06190476190476191,0.0,0.05238095238095238
frequency,Frequency MLP,b905,420,1,7,17.68573532558623,0.0,60.00000762939453,180.0,0.8476190476190476,0.09285714285714286,0.05476190476190476,0.0,0.05238095238095238
frequency,Frequency MLP,b943,420,1,7,21.22703025681632,0.0,120.00000762939453,180.0,0.8095238095238095,0.10238095238095238,0.06904761904761905,0.0,0.06904761904761905
frequency,Frequency MLP,b974,420,1,7,14.918821652730307,0.0,0.0,180.0,0.9095238095238095,0.08095238095238096,0.07857142857142857,0.0,0.07857142857142857
frequency,Frequency MLP,b979,420,1,7,67.12808238211132,60.000003814697266,150.0,180.0,0.2119047619047619,0.2833333333333333,0.12857142857142856,0.011904761904761904,0.05238095238095238
frequency,Frequency MLP,b97b,420,1,7,26.81057575770787,0.0,120.00000762939453,180.0,0.7261904761904762,0.13333333333333333,0.07380952380952381,0.002380952380952381,0.06904761904761905
frequency,Frequency MLP,b9e6,420,1,7,18.39133736292521,0.0,120.00000762939453,180.0,0.861904761904762,0.10952380952380952,0.06190476190476191,0.0,0.06190476190476191
frequency,Frequency MLP,ba0f,420,1,7,72.88208723976499,60.000003814697266,151.04498291015625,180.0,0.26904761904761904,0.3904761904761905,0.15476190476190477,0.009523809523809525,0.06904761904761905
frequency,Frequency MLP,baa9,420,1,7,3.857142857142857,0.0,0.0,0.0,0.9785714285714285,0.02142857142857143,0.02142857142857143,0.0,0.02142857142857143
frequency,Frequency MLP,bb26,420,1,7,74.16364283561707,60.000003814697266,151.04498291015625,180.0,0.2571428571428571,0.3904761904761905,0.1738095238095238,0.0,0.0880952380952381
frequency,Frequency MLP,bb7c,420,1,7,22.590275224049886,0.0,120.00000762939453,180.0,0.8142857142857143,0.11666666666666667,0.08571428571428572,0.0,0.08333333333333333
frequency,Frequency MLP,bb7d,420,1,7,90.05052256811233,90.0,154.0949249267578,180.0,0.15476190476190477,0.4880952380952381,0.19047619047619047,0.009523809523809525,0.0880952380952381
frequency,Frequency MLP,bbc6,420,1,7,50.24340035120646,0.0,180.0,180.0,0.5047619047619047,0.2571428571428571,0.16904761904761906,0.0,0.1
frequency,Frequency MLP,bc2c,420,1,7,85.84118955248879,90.0,180.0,180.0,0.2,0.45714285714285713,0.21666666666666667,0.023809523809523808,0.14523809523809525
rect_ifft,Rect-IFFT MLP,b7c1,420,1,7,17.077965500241234,0.0,75.52249145507812,180.0,0.8761904761904762,0.09523809523809523,0.06904761904761905,0.0,0.06428571428571428
rect_ifft,Rect-IFFT MLP,b7fd,420,1,7,65.26363645962306,57.7581901550293,154.09490966796875,180.0,0.2904761904761905,0.3476190476190476,0.1357142857142857,0.016666666666666666,0.06904761904761905
rect_ifft,Rect-IFFT MLP,b80b,420,1,7,6.428571455819267,0.0,0.0,0.0,0.9595238095238096,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333
rect_ifft,Rect-IFFT MLP,b812,420,1,7,11.864490191141764,0.0,0.0,180.0,0.9238095238095239,0.06666666666666667,0.05714285714285714,0.0,0.05714285714285714
rect_ifft,Rect-IFFT MLP,b827,420,1,7,16.889999328340803,0.0,60.000003814697266,150.0,0.8285714285714286,0.08333333333333333,0.05,0.0,0.04285714285714286
rect_ifft,Rect-IFFT MLP,b871,420,1,7,19.732692455110097,0.0,120.00000762939453,180.0,0.8452380952380952,0.10238095238095238,0.08095238095238096,0.0,0.07857142857142857
rect_ifft,Rect-IFFT MLP,b8ed,420,1,7,48.68963430495489,25.905075073242188,128.6822052001953,180.0,0.4928571428571429,0.2761904761904762,0.08571428571428572,0.014285714285714285,0.05238095238095238
rect_ifft,Rect-IFFT MLP,b905,420,1,7,17.501674556732176,0.0,66.45188903808594,150.0,0.8476190476190476,0.09285714285714286,0.05,0.0,0.04523809523809524
rect_ifft,Rect-IFFT MLP,b943,420,1,7,20.49142331168765,0.0,97.1807632446289,180.0,0.8214285714285714,0.10476190476190476,0.06904761904761905,0.0,0.06666666666666667
rect_ifft,Rect-IFFT MLP,b974,420,1,7,15.149669937860399,0.0,0.0,180.0,0.9095238095238095,0.08095238095238096,0.08095238095238096,0.0,0.08095238095238096
rect_ifft,Rect-IFFT MLP,b979,420,1,7,70.15851272855487,60.000003814697266,150.0,165.12905883789062,0.18571428571428572,0.3047619047619048,0.10952380952380952,0.011904761904761904,0.0380952380952381
rect_ifft,Rect-IFFT MLP,b97b,420,1,7,28.601844957896642,0.0,120.00000762939453,180.0,0.7,0.14523809523809525,0.07380952380952381,0.002380952380952381,0.06904761904761905
rect_ifft,Rect-IFFT MLP,b9e6,420,1,7,15.216021492367698,0.0,60.000003814697266,120.00000762939453,0.8809523809523809,0.09047619047619047,0.04523809523809524,0.0,0.04523809523809524
rect_ifft,Rect-IFFT MLP,ba0f,420,1,7,67.05467356046042,60.000003814697266,151.04498291015625,180.0,0.34285714285714286,0.36428571428571427,0.17142857142857143,0.011904761904761904,0.08095238095238096
rect_ifft,Rect-IFFT MLP,baa9,420,1,7,2.401724570138114,0.0,0.0,0.0,0.9833333333333333,0.011904761904761904,0.011904761904761904,0.0,0.011904761904761904
rect_ifft,Rect-IFFT MLP,bb26,420,1,7,76.0474621636527,60.0000057220459,154.0949249267578,180.0,0.24523809523809523,0.42857142857142855,0.1976190476190476,0.007142857142857143,0.08571428571428572
rect_ifft,Rect-IFFT MLP,bb7c,420,1,7,22.249767628170193,0.0,120.00000762939453,180.0,0.8238095238095238,0.11666666666666667,0.09047619047619047,0.0,0.08571428571428572
rect_ifft,Rect-IFFT MLP,bb7d,420,1,7,90.14047725768316,90.0,165.12905883789062,180.0,0.14761904761904762,0.4928571428571429,0.16904761904761906,0.011904761904761904,0.09523809523809523
rect_ifft,Rect-IFFT MLP,bbc6,420,1,7,53.50504034133184,14.870942115783691,180.0,180.0,0.4976190476190476,0.28809523809523807,0.18333333333333332,0.002380952380952381,0.10952380952380952
rect_ifft,Rect-IFFT MLP,bc2c,420,1,7,81.93131503831772,82.81924438476562,180.0,180.0,0.18571428571428572,0.430952380952381,0.19523809523809524,0.02857142857142857,0.10238095238095238
hann_ifft,Hann-IFFT MLP,b7c1,420,1,7,23.827359412965322,0.0,120.00000762939453,180.0,0.8071428571428572,0.1261904761904762,0.08095238095238096,0.0,0.08095238095238096
hann_ifft,Hann-IFFT MLP,b7fd,420,1,7,68.89391939980644,60.000003814697266,151.04498291015625,180.0,0.26666666666666666,0.3738095238095238,0.1380952380952381,0.023809523809523808,0.06190476190476191
hann_ifft,Hann-IFFT MLP,b80b,420,1,7,12.155845015389579,0.0,0.0,180.0,0.9214285714285714,0.06428571428571428,0.05952380952380952,0.0,0.05952380952380952
hann_ifft,Hann-IFFT MLP,b812,420,1,7,17.687542343139647,0.0,82.81924438476562,180.0,0.8785714285714286,0.09047619047619047,0.08095238095238096,0.0,0.08095238095238096
hann_ifft,Hann-IFFT MLP,b827,420,1,7,27.8859409400395,0.0,120.00000762939453,165.12905883789062,0.6833333333333333,0.12857142857142856,0.06904761904761905,0.002380952380952381,0.047619047619047616
