arm,arm_display,theta_true_deg,phi_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180,direction_index
frequency,Frequency MLP,30.0,0.0,140,20,7,25.77474914959499,0.0,90.0,150.0,0.6857142857142857,0.06428571428571428,0.06428571428571428,0.0,0.014285714285714285,0
frequency,Frequency MLP,30.0,30.0,140,20,7,19.124466276168825,0.0,90.0,128.68218994140625,0.7357142857142858,0.07142857142857142,0.014285714285714285,0.0,0.0,1
frequency,Frequency MLP,30.0,60.0,140,20,7,32.03606145722525,0.0,128.68218994140625,151.04498291015625,0.7357142857142858,0.21428571428571427,0.09285714285714286,0.014285714285714285,0.0,2
frequency,Frequency MLP,30.0,90.0,140,20,7,41.30910498755319,0.0,180.0,180.0,0.65,0.2,0.12857142857142856,0.0,0.12857142857142856,3
frequency,Frequency MLP,30.0,120.0,140,20,7,33.03856732504708,0.0,128.68218994140625,151.04498291015625,0.6571428571428571,0.2,0.05714285714285714,0.007142857142857143,0.0,4
frequency,Frequency MLP,30.0,150.0,140,20,7,24.091092552457535,0.0,122.24180603027344,151.04498291015625,0.7428571428571429,0.12857142857142856,0.05714285714285714,0.0,0.0,5
frequency,Frequency MLP,30.0,180.0,140,20,7,18.61725848061698,0.0,90.0,120.00000762939453,0.7642857142857142,0.05714285714285714,0.03571428571428571,0.0,0.0,6
frequency,Frequency MLP,30.0,210.0,140,20,7,26.43199418612889,0.0,128.68218994140625,151.04498291015625,0.7,0.12857142857142856,0.07142857142857142,0.0,0.007142857142857143,7
frequency,Frequency MLP,30.0,240.0,140,20,7,32.55834009987967,0.0,143.9022216796875,151.04498291015625,0.6714285714285714,0.17857142857142858,0.09285714285714286,0.02857142857142857,0.0,8
frequency,Frequency MLP,30.0,270.0,140,20,7,23.713363531657627,0.0,120.00000762939453,165.12905883789062,0.75,0.12142857142857143,0.05,0.04285714285714286,0.007142857142857143,9
frequency,Frequency MLP,30.0,300.0,140,20,7,18.196361207962035,0.0,60.000003814697266,120.00000762939453,0.7357142857142858,0.05,0.014285714285714285,0.0,0.0,10
frequency,Frequency MLP,30.0,330.0,140,20,7,29.125597497395106,0.0,128.68218994140625,128.68218994140625,0.7357142857142858,0.22857142857142856,0.014285714285714285,0.007142857142857143,0.0,11
frequency,Frequency MLP,60.0,0.0,140,20,7,26.34220017024449,0.0,120.00000762939453,180.0,0.6785714285714286,0.11428571428571428,0.06428571428571428,0.0,0.06428571428571428,12
frequency,Frequency MLP,60.0,30.0,140,20,7,18.59268158503941,0.0,82.81924438476562,120.00000762939453,0.7714285714285715,0.07142857142857142,0.0,0.0,0.0,13
frequency,Frequency MLP,60.0,60.0,140,20,7,23.721385043007988,0.0,120.00000762939453,128.68218994140625,0.7071428571428572,0.14285714285714285,0.0,0.0,0.0,14
frequency,Frequency MLP,60.0,90.0,140,20,7,30.75907085963658,0.0,150.0,180.0,0.7214285714285714,0.17142857142857143,0.10714285714285714,0.0,0.05,15
frequency,Frequency MLP,60.0,120.0,140,20,7,34.853830392020086,0.0,120.00000762939453,128.6822052001953,0.6285714285714286,0.2357142857142857,0.0,0.0,0.0,16
frequency,Frequency MLP,60.0,150.0,140,20,7,28.96079421724592,0.0,120.00000762939453,128.6822052001953,0.7142857142857143,0.1357142857142857,0.04285714285714286,0.0,0.04285714285714286,17
frequency,Frequency MLP,60.0,180.0,140,20,7,21.089641516549246,0.0,90.0,120.00000762939453,0.6785714285714286,0.06428571428571428,0.007142857142857143,0.0,0.007142857142857143,18
frequency,Frequency MLP,60.0,210.0,140,20,7,37.69691410064697,0.0,120.00000762939453,128.6822052001953,0.5785714285714286,0.18571428571428572,0.014285714285714285,0.0,0.014285714285714285,19
frequency,Frequency MLP,60.0,240.0,140,20,7,35.83629343850272,0.0,128.6822052001953,128.6822052001953,0.6071428571428571,0.22142857142857142,0.014285714285714285,0.0,0.0,20
frequency,Frequency MLP,60.0,270.0,140,20,7,28.971104308537075,0.0,120.00000762939453,180.0,0.6714285714285714,0.15,0.05714285714285714,0.0,0.05,21
frequency,Frequency MLP,60.0,300.0,140,20,7,34.29048342023577,0.0,128.68218994140625,130.50535583496094,0.6785714285714286,0.24285714285714285,0.0,0.0,0.0,22
frequency,Frequency MLP,60.0,330.0,140,20,7,25.386609717777798,0.0,82.81924438476562,128.6822052001953,0.7142857142857143,0.07857142857142857,0.03571428571428571,0.0,0.03571428571428571,23
frequency,Frequency MLP,90.0,0.0,140,20,7,85.84707454953875,64.34110260009766,180.0,180.0,0.4714285714285714,0.4857142857142857,0.45,0.0,0.4,24
frequency,Frequency MLP,90.0,30.0,140,20,7,75.66394408089774,60.00000762939453,180.0,180.0,0.44285714285714284,0.42142857142857143,0.2857142857142857,0.0,0.2642857142857143,25
frequency,Frequency MLP,90.0,60.0,140,20,7,83.96067428588867,60.000003814697266,180.0,180.0,0.3142857142857143,0.4142857142857143,0.2714285714285714,0.0,0.2642857142857143,26
frequency,Frequency MLP,90.0,90.0,140,20,7,90.85714300700596,45.00000286102295,180.0,180.0,0.4357142857142857,0.4928571428571429,0.4928571428571429,0.0,0.4857142857142857,27
frequency,Frequency MLP,90.0,120.0,140,20,7,73.01101876667568,60.000003814697266,180.0,180.0,0.38571428571428573,0.42142857142857143,0.21428571428571427,0.0,0.17142857142857143,28
frequency,Frequency MLP,90.0,150.0,140,20,7,84.93701195035662,60.000003814697266,180.0,180.0,0.3,0.44285714285714284,0.2857142857142857,0.0,0.25,29
frequency,Frequency MLP,90.0,180.0,140,20,7,92.25536270141602,115.6589126586914,180.0,180.0,0.4142857142857143,0.5071428571428571,0.4857142857142857,0.0,0.45,30
frequency,Frequency MLP,90.0,210.0,140,20,7,66.19320185525076,0.0,180.0,180.0,0.5071428571428571,0.37142857142857144,0.2642857142857143,0.0,0.2357142857142857,31
frequency,Frequency MLP,90.0,240.0,140,20,7,51.03932922908238,30.000001907348633,150.0,180.0,0.4928571428571429,0.2642857142857143,0.1,0.0,0.09285714285714286,32
frequency,Frequency MLP,90.0,270.0,140,20,7,49.71428574153355,0.0,180.0,180.0,0.7,0.2857142857142857,0.2857142857142857,0.0,0.21428571428571427,33
frequency,Frequency MLP,90.0,300.0,140,20,7,57.519992801121305,41.40962219238281,180.0,180.0,0.44285714285714284,0.25,0.2,0.0,0.14285714285714285,34
frequency,Frequency MLP,90.0,330.0,140,20,7,104.35714530944824,120.00000762939453,180.0,180.0,0.22142857142857142,0.5785714285714286,0.40714285714285714,0.0,0.34285714285714286,35
frequency,Frequency MLP,120.0,0.0,140,20,7,25.743534687587193,0.0,120.00000762939453,120.00000762939453,0.7214285714285714,0.14285714285714285,0.04285714285714286,0.0,0.007142857142857143,36
frequency,Frequency MLP,120.0,30.0,140,20,7,14.749706527165005,0.0,82.81924438476562,90.0,0.7928571428571428,0.04285714285714286,0.007142857142857143,0.0,0.0,37
frequency,Frequency MLP,120.0,60.0,140,20,7,16.86332149505615,0.0,86.67424774169922,128.68218994140625,0.7714285714285715,0.09285714285714286,0.0,0.0,0.0,38
frequency,Frequency MLP,120.0,90.0,140,20,7,34.77718905040196,0.0,154.09490966796875,180.0,0.6571428571428571,0.18571428571428572,0.11428571428571428,0.0,0.07857142857142857,39
frequency,Frequency MLP,120.0,120.0,140,20,7,44.22390193939209,0.0,128.6822052001953,128.6822052001953,0.5714285714285714,0.32857142857142857,0.007142857142857143,0.0,0.0,40
frequency,Frequency MLP,120.0,150.0,140,20,7,28.0530328478132,0.0,120.00000762939453,138.59039306640625,0.7142857142857143,0.15,0.04285714285714286,0.0,0.03571428571428571,41
frequency,Frequency MLP,120.0,180.0,140,20,7,18.02509389604841,0.0,60.000003814697266,120.00000762939453,0.6928571428571428,0.06428571428571428,0.014285714285714285,0.0,0.014285714285714285,42
frequency,Frequency MLP,120.0,210.0,140,20,7,42.90062596457345,0.0,120.00000762939453,120.00000762939453,0.5285714285714286,0.22142857142857142,0.02142857142857143,0.0,0.02142857142857143,43
frequency,Frequency MLP,120.0,240.0,140,20,7,32.88732693535941,0.0,113.54811096191406,128.6822052001953,0.5642857142857143,0.17142857142857143,0.007142857142857143,0.0,0.007142857142857143,44
frequency,Frequency MLP,120.0,270.0,140,20,7,32.14326485225133,0.0,120.00000762939453,180.0,0.6285714285714286,0.17142857142857143,0.07142857142857142,0.0,0.05,45
frequency,Frequency MLP,120.0,300.0,140,20,7,30.60211981364659,0.0,128.68218994140625,128.68218994140625,0.6571428571428571,0.2,0.014285714285714285,0.0,0.0,46
frequency,Frequency MLP,120.0,330.0,140,20,7,23.143660150255474,0.0,82.81924438476562,120.00000762939453,0.7357142857142858,0.07857142857142857,0.03571428571428571,0.0,0.02857142857142857,47
frequency,Frequency MLP,150.0,0.0,140,20,7,24.987808200291227,0.0,90.0,120.00000762939453,0.6428571428571429,0.07142857142857142,0.02857142857142857,0.0,0.0,48
frequency,Frequency MLP,150.0,30.0,140,20,7,20.012135022027152,0.0,60.000003814697266,128.68218994140625,0.7214285714285714,0.07857142857142857,0.02857142857142857,0.007142857142857143,0.007142857142857143,49
frequency,Frequency MLP,150.0,60.0,140,20,7,28.041839408874512,0.0,122.24180603027344,151.04498291015625,0.7642857142857142,0.19285714285714287,0.08571428571428572,0.0,0.0,50
frequency,Frequency MLP,150.0,90.0,140,20,7,31.469818333217077,0.0,180.0,180.0,0.7428571428571429,0.14285714285714285,0.11428571428571428,0.014285714285714285,0.1,51
frequency,Frequency MLP,150.0,120.0,140,20,7,26.413532985959733,0.0,128.68218994140625,151.04498291015625,0.7714285714285715,0.16428571428571428,0.05714285714285714,0.0,0.0,52
frequency,Frequency MLP,150.0,150.0,140,20,7,22.288571344103133,0.0,120.00000762939453,128.68218994140625,0.75,0.10714285714285714,0.03571428571428571,0.0,0.0,53
frequency,Frequency MLP,150.0,180.0,140,20,7,20.095344379970005,0.0,90.0,120.00000762939453,0.6857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.0,54
frequency,Frequency MLP,150.0,210.0,140,20,7,22.539512354987007,0.0,120.00000762939453,151.04498291015625,0.7357142857142858,0.1,0.05714285714285714,0.007142857142857143,0.0,55
frequency,Frequency MLP,150.0,240.0,140,20,7,26.034660026005337,0.0,120.00000762939453,151.04498291015625,0.7357142857142858,0.1357142857142857,0.07857142857142857,0.02142857142857143,0.02142857142857143,56
frequency,Frequency MLP,150.0,270.0,140,20,7,16.177649899891446,0.0,60.000003814697266,165.12905883789062,0.8357142857142857,0.07142857142857142,0.05,0.014285714285714285,0.03571428571428571,57
