pair,method_a,method_b,metric,delta_definition,positive_interpretation,object_count,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,objects_positive,objects_negative,objects_zero,bootstrap_draws
rect_ifft_minus_frequency,frequency,rect_ifft,gce_deg,method_b minus method_a,method_b worse,20,0.32426835979734137,-1.3385984603592327,2.2184523247026258,9,11,0,50000
rect_ifft_minus_frequency,frequency,rect_ifft,top1,method_b minus method_a,method_b better,20,-0.005833333333333331,-0.0238095238095238,0.009642857142857142,9,11,3,50000
rect_ifft_minus_frequency,frequency,rect_ifft,tail_gt90,method_b minus method_a,method_b worse,20,0.0036904761904761885,-0.005952380952380954,0.014047619047619048,9,9,4,50000
rect_ifft_minus_frequency,frequency,rect_ifft,tail_ge150,method_b minus method_a,method_b worse,20,0.0010714285714285717,-0.006904761904761904,0.00976190476190476,9,10,2,50000
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,method_b minus method_a,method_b worse,20,-0.0011904761904761908,-0.008690476190476191,0.006666666666666664,9,10,1,50000
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,method_b minus method_a,method_b worse,20,-0.003333333333333333,-0.010595238095238095,0.0038095238095238087,7,11,2,50000
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,method_b minus method_a,method_b worse,20,5.127550013973599,2.8758164267738655,7.44853052972328,19,1,0,50000
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,method_b minus method_a,method_b better,20,-0.0507142857142857,-0.06880952380952379,-0.03511904761904762,0,20,0,50000
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,method_b minus method_a,method_b worse,20,0.023452380952380957,0.003809523809523808,0.042738095238095235,14,6,0,50000
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,method_b minus method_a,method_b worse,20,0.010119047619047616,-0.002023809523809526,0.022976190476190473,14,6,0,50000
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,method_b minus method_a,method_b worse,20,0.007976190476190475,-0.0015476190476190483,0.017619047619047618,15,5,2,50000
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,method_b minus method_a,method_b worse,20,0.008095238095238095,-0.0009523809523809539,0.017499999999999998,14,6,1,50000
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,method_b minus method_a,method_b worse,20,5.451818373770941,2.6682413418378146,8.234765468211403,17,3,0,50000
hann_ifft_minus_frequency,frequency,hann_ifft,top1,method_b minus method_a,method_b better,20,-0.05654761904761905,-0.07547619047619046,-0.03928571428571428,1,18,2,50000
hann_ifft_minus_frequency,frequency,hann_ifft,tail_gt90,method_b minus method_a,method_b worse,20,0.027142857142857142,0.004523809523809518,0.04952380952380952,16,4,2,50000
hann_ifft_minus_frequency,frequency,hann_ifft,tail_ge150,method_b minus method_a,method_b worse,20,0.011190476190476188,-0.004285714285714284,0.02654761904761905,14,6,0,50000
hann_ifft_minus_frequency,frequency,hann_ifft,near_or_exact_antipodal_ge165,method_b minus method_a,method_b worse,20,0.006785714285714286,-0.0057142857142857125,0.018095238095238095,13,7,0,50000
hann_ifft_minus_frequency,frequency,hann_ifft,exact_antipodal_180,method_b minus method_a,method_b worse,20,0.004761904761904763,-0.007261904761904759,0.01583333333333333,12,8,0,50000
strong_1nn_minus_frequency,frequency,strong_1nn,gce_deg,method_b minus method_a,method_b worse,20,-9.742428338459401,-13.472497792006838,-6.513026634335015,2,18,0,50000
strong_1nn_minus_frequency,frequency,strong_1nn,top1,method_b minus method_a,method_b better,20,0.05976190476190477,0.02952380952380953,0.0927410714285716,17,3,1,50000
strong_1nn_minus_frequency,frequency,strong_1nn,tail_gt90,method_b minus method_a,method_b worse,20,-0.06416666666666665,-0.09214285714285712,-0.041428571428571426,1,19,1,50000
strong_1nn_minus_frequency,frequency,strong_1nn,tail_ge150,method_b minus method_a,method_b worse,20,-0.050238095238095234,-0.06392857142857142,-0.03761904761904762,0,20,0,50000
strong_1nn_minus_frequency,frequency,strong_1nn,near_or_exact_antipodal_ge165,method_b minus method_a,method_b worse,20,-0.05809523809523809,-0.06595238095238096,-0.04988095238095237,0,20,0,50000
strong_1nn_minus_frequency,frequency,strong_1nn,exact_antipodal_180,method_b minus method_a,method_b worse,20,-0.05738095238095239,-0.06595238095238094,-0.04845238095238095,0,20,0,50000
strong_1nn_minus_rect_ifft,rect_ifft,strong_1nn,gce_deg,method_b minus method_a,method_b worse,20,-10.066696698256743,-13.963845720384514,-6.566221178922304,1,19,0,50000
strong_1nn_minus_rect_ifft,rect_ifft,strong_1nn,top1,method_b minus method_a,method_b better,20,0.0655952380952381,0.028928571428571425,0.10440476190476192,17,3,1,50000
strong_1nn_minus_rect_ifft,rect_ifft,strong_1nn,tail_gt90,method_b minus method_a,method_b worse,20,-0.06785714285714285,-0.09607142857142856,-0.043214285714285705,1,19,0,50000
strong_1nn_minus_rect_ifft,rect_ifft,strong_1nn,tail_ge150,method_b minus method_a,method_b worse,20,-0.05130952380952379,-0.06499999999999999,-0.03880952380952381,0,20,0,50000
strong_1nn_minus_rect_ifft,rect_ifft,strong_1nn,near_or_exact_antipodal_ge165,method_b minus method_a,method_b worse,20,-0.0569047619047619,-0.0655952380952381,-0.048095238095238094,0,20,0,50000
strong_1nn_minus_rect_ifft,rect_ifft,strong_1nn,exact_antipodal_180,method_b minus method_a,method_b worse,20,-0.05404761904761903,-0.062142857142857146,-0.045952380952380946,0,20,0,50000
strong_1nn_minus_hann_ifft,hann_ifft,strong_1nn,gce_deg,method_b minus method_a,method_b worse,20,-15.194246712230342,-18.876111053474464,-11.796707941652786,0,20,0,50000
strong_1nn_minus_hann_ifft,hann_ifft,strong_1nn,top1,method_b minus method_a,method_b better,20,0.11630952380952382,0.07940476190476192,0.15440476190476193,20,0,0,50000
strong_1nn_minus_hann_ifft,hann_ifft,strong_1nn,tail_gt90,method_b minus method_a,method_b worse,20,-0.0913095238095238,-0.11357142857142857,-0.07023809523809524,0,20,0,50000
strong_1nn_minus_hann_ifft,hann_ifft,strong_1nn,tail_ge150,method_b minus method_a,method_b worse,20,-0.06142857142857142,-0.07309523809523809,-0.04892857142857142,1,19,0,50000
strong_1nn_minus_hann_ifft,hann_ifft,strong_1nn,near_or_exact_antipodal_ge165,method_b minus method_a,method_b worse,20,-0.06488095238095237,-0.07607142857142857,-0.05357142857142857,0,20,0,50000
strong_1nn_minus_hann_ifft,hann_ifft,strong_1nn,exact_antipodal_180,method_b minus method_a,method_b worse,20,-0.06214285714285713,-0.07309523809523807,-0.051547619047619044,0,20,0,50000
