condition,snr_db,realization,sample_id,stable_seed_uint64,shared_scope
snr_30db,30.0,draw0,b7c1_pec_ti030_pi000,12905163837847464526,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi030,2156305688936994700,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi060,8208141109083045036,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi090,2171451098854416921,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi120,17280701455836872900,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi150,10410519116351829966,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi180,5460101358874573729,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi210,14609008469506998810,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi240,16484380345429007577,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi270,16792448017369699953,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi300,14640618765288590245,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti030_pi330,3208935659367527214,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi000,13339785937611537398,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi030,1716714926809010786,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi060,14565237892994518275,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi090,17814772261130930614,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi120,17370088312805758715,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi150,5772754597955153786,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi180,8447529340254838439,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi210,2734573673952717889,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi240,15575534626373939727,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi270,723406366887038560,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi300,5882622937009124102,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti060_pi330,1313080479429836508,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi000,11685679658309095712,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi030,4135391729425725597,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi060,13662267601838622211,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi090,16857447568070407049,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi120,4103883294067968215,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi150,15326483194233763728,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi180,10833109051893062049,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi210,3533854365684781299,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi240,1701464175477087460,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi270,11523947801080419285,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi300,3872987650000234969,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti090_pi330,13359349241391083253,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi000,12777368312961722059,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi030,5341420709328471372,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi060,2285300984675647173,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi090,13865344379436071114,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi120,12468968099807089573,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi150,15464225508195331109,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi180,12091116964806733940,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi210,12360699899035105907,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi240,10066311938426647918,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi270,13283832260945778541,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi300,13321485783810422719,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti120_pi330,5135757303278017312,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi000,4405735682039776495,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi030,14198738459155988100,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi060,1435864405046138293,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi090,4299602898315052286,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi120,9996617532283407638,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi150,3590907296463107825,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi180,9260015229067612281,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi210,6549956256677107810,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi240,15026207429440957367,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi270,921532688819313294,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi300,1868898575365574229,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7c1_pec_ti150_pi330,17235099902953622250,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7fd_pec_ti030_pi000,16310548738241643042,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7fd_pec_ti030_pi030,6665379789962134949,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7fd_pec_ti030_pi060,3138015251103381603,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
snr_30db,30.0,draw0,b7fd_pec_ti030_pi090,7252560363279699835,same sample/model arms/folds/checkpoint seeds; theta/phi use sequential independent draws from this RNG
