arm,arm_display,entity_type,entity,object_code,theta_true_deg,phi_true_deg,prediction_rows,tail_gt90_count,tail_gt90_rate,tail_ge150_rate,exact_antipodal_rate,tail_rank,share_of_arm_tail
frequency,Frequency MLP,direction,t090_p330,,90.0,330.0,140,81,0.5785714285714286,0.40714285714285714,0.34285714285714286,1,0.04966278356836297
frequency,Frequency MLP,direction,t090_p180,,90.0,180.0,140,71,0.5071428571428571,0.4857142857142857,0.45,2,0.043531575720416923
frequency,Frequency MLP,direction,t090_p090,,90.0,90.0,140,69,0.4928571428571429,0.4928571428571429,0.4857142857142857,3,0.04230533415082771
frequency,Frequency MLP,direction,t090_p000,,90.0,0.0,140,68,0.4857142857142857,0.45,0.4,4,0.041692213366033105
frequency,Frequency MLP,direction,t090_p150,,90.0,150.0,140,62,0.44285714285714284,0.2857142857142857,0.25,5,0.03801348865726548
frequency,Frequency MLP,direction,t090_p030,,90.0,30.0,140,59,0.42142857142857143,0.2857142857142857,0.2642857142857143,6,0.036174126302881665
frequency,Frequency MLP,direction,t090_p120,,90.0,120.0,140,59,0.42142857142857143,0.21428571428571427,0.17142857142857143,7,0.036174126302881665
frequency,Frequency MLP,direction,t090_p060,,90.0,60.0,140,58,0.4142857142857143,0.2714285714285714,0.2642857142857143,8,0.035561005518087066
frequency,Frequency MLP,direction,t090_p210,,90.0,210.0,140,52,0.37142857142857144,0.2642857142857143,0.2357142857142857,9,0.03188228080931944
frequency,Frequency MLP,direction,t120_p120,,120.0,120.0,140,46,0.32857142857142857,0.007142857142857143,0.0,10,0.028203556100551808
frequency,Frequency MLP,direction,t090_p270,,90.0,270.0,140,40,0.2857142857142857,0.2857142857142857,0.21428571428571427,11,0.024524831391784182
frequency,Frequency MLP,direction,t090_p240,,90.0,240.0,140,37,0.2642857142857143,0.1,0.09285714285714286,12,0.022685469037400367
frequency,Frequency MLP,direction,t090_p300,,90.0,300.0,140,35,0.25,0.2,0.14285714285714285,13,0.02145922746781116
frequency,Frequency MLP,direction,t060_p300,,60.0,300.0,140,34,0.24285714285714285,0.0,0.0,14,0.020846106683016553
frequency,Frequency MLP,direction,t060_p120,,60.0,120.0,140,33,0.2357142857142857,0.0,0.0,15,0.02023298589822195
frequency,Frequency MLP,direction,t030_p330,,30.0,330.0,140,32,0.22857142857142856,0.014285714285714285,0.0,16,0.019619865113427344
frequency,Frequency MLP,direction,t060_p240,,60.0,240.0,140,31,0.22142857142857142,0.014285714285714285,0.0,17,0.01900674432863274
frequency,Frequency MLP,direction,t120_p210,,120.0,210.0,140,31,0.22142857142857142,0.02142857142857143,0.02142857142857143,18,0.01900674432863274
frequency,Frequency MLP,direction,t030_p060,,30.0,60.0,140,30,0.21428571428571427,0.09285714285714286,0.0,19,0.018393623543838136
frequency,Frequency MLP,direction,t030_p090,,30.0,90.0,140,28,0.2,0.12857142857142856,0.12857142857142856,20,0.017167381974248927
frequency,Frequency MLP,direction,t030_p120,,30.0,120.0,140,28,0.2,0.05714285714285714,0.0,21,0.017167381974248927
frequency,Frequency MLP,direction,t120_p300,,120.0,300.0,140,28,0.2,0.014285714285714285,0.0,22,0.017167381974248927
frequency,Frequency MLP,direction,t150_p330,,150.0,330.0,140,28,0.2,0.05,0.0,23,0.017167381974248927
frequency,Frequency MLP,direction,t150_p060,,150.0,60.0,140,27,0.19285714285714287,0.08571428571428572,0.0,24,0.01655426118945432
frequency,Frequency MLP,direction,t060_p210,,60.0,210.0,140,26,0.18571428571428572,0.014285714285714285,0.014285714285714285,25,0.01594114040465972
frequency,Frequency MLP,direction,t120_p090,,120.0,90.0,140,26,0.18571428571428572,0.11428571428571428,0.07857142857142857,26,0.01594114040465972
frequency,Frequency MLP,direction,t030_p240,,30.0,240.0,140,25,0.17857142857142858,0.09285714285714286,0.0,27,0.015328019619865114
frequency,Frequency MLP,direction,t060_p090,,60.0,90.0,140,24,0.17142857142857143,0.10714285714285714,0.05,28,0.014714898835070508
frequency,Frequency MLP,direction,t120_p240,,120.0,240.0,140,24,0.17142857142857143,0.007142857142857143,0.007142857142857143,29,0.014714898835070508
frequency,Frequency MLP,direction,t120_p270,,120.0,270.0,140,24,0.17142857142857143,0.07142857142857142,0.05,30,0.014714898835070508
frequency,Frequency MLP,direction,t150_p120,,150.0,120.0,140,23,0.16428571428571428,0.05714285714285714,0.0,31,0.014101778050275904
frequency,Frequency MLP,direction,t060_p270,,60.0,270.0,140,21,0.15,0.05714285714285714,0.05,32,0.012875536480686695
frequency,Frequency MLP,direction,t120_p150,,120.0,150.0,140,21,0.15,0.04285714285714286,0.03571428571428571,33,0.012875536480686695
frequency,Frequency MLP,direction,t060_p060,,60.0,60.0,140,20,0.14285714285714285,0.0,0.0,34,0.012262415695892091
frequency,Frequency MLP,direction,t120_p000,,120.0,0.0,140,20,0.14285714285714285,0.04285714285714286,0.007142857142857143,35,0.012262415695892091
frequency,Frequency MLP,direction,t150_p090,,150.0,90.0,140,20,0.14285714285714285,0.11428571428571428,0.1,36,0.012262415695892091
frequency,Frequency MLP,direction,t060_p150,,60.0,150.0,140,19,0.1357142857142857,0.04285714285714286,0.04285714285714286,37,0.011649294911097487
frequency,Frequency MLP,direction,t150_p240,,150.0,240.0,140,19,0.1357142857142857,0.07857142857142857,0.02142857142857143,38,0.011649294911097487
frequency,Frequency MLP,direction,t030_p150,,30.0,150.0,140,18,0.12857142857142856,0.05714285714285714,0.0,39,0.011036174126302882
frequency,Frequency MLP,direction,t030_p210,,30.0,210.0,140,18,0.12857142857142856,0.07142857142857142,0.007142857142857143,40,0.011036174126302882
frequency,Frequency MLP,direction,t030_p270,,30.0,270.0,140,17,0.12142857142857143,0.05,0.007142857142857143,41,0.010423053341508276
frequency,Frequency MLP,direction,t060_p000,,60.0,0.0,140,16,0.11428571428571428,0.06428571428571428,0.06428571428571428,42,0.009809932556713672
frequency,Frequency MLP,direction,t150_p150,,150.0,150.0,140,15,0.10714285714285714,0.03571428571428571,0.0,43,0.009196811771919068
frequency,Frequency MLP,direction,t150_p210,,150.0,210.0,140,14,0.1,0.05714285714285714,0.0,44,0.008583690987124463
frequency,Frequency MLP,direction,t120_p060,,120.0,60.0,140,13,0.09285714285714286,0.0,0.0,45,0.00797057020232986
frequency,Frequency MLP,direction,t150_p300,,150.0,300.0,140,12,0.08571428571428572,0.04285714285714286,0.0,46,0.007357449417535254
frequency,Frequency MLP,direction,t060_p330,,60.0,330.0,140,11,0.07857142857142857,0.03571428571428571,0.03571428571428571,47,0.00674432863274065
frequency,Frequency MLP,direction,t120_p330,,120.0,330.0,140,11,0.07857142857142857,0.03571428571428571,0.02857142857142857,48,0.00674432863274065
frequency,Frequency MLP,direction,t150_p030,,150.0,30.0,140,11,0.07857142857142857,0.02857142857142857,0.007142857142857143,49,0.00674432863274065
frequency,Frequency MLP,direction,t030_p030,,30.0,30.0,140,10,0.07142857142857142,0.014285714285714285,0.0,50,0.0061312078479460455
frequency,Frequency MLP,direction,t060_p030,,60.0,30.0,140,10,0.07142857142857142,0.0,0.0,51,0.0061312078479460455
frequency,Frequency MLP,direction,t150_p000,,150.0,0.0,140,10,0.07142857142857142,0.02857142857142857,0.0,52,0.0061312078479460455
frequency,Frequency MLP,direction,t150_p270,,150.0,270.0,140,10,0.07142857142857142,0.05,0.03571428571428571,53,0.0061312078479460455
frequency,Frequency MLP,direction,t030_p000,,30.0,0.0,140,9,0.06428571428571428,0.06428571428571428,0.014285714285714285,54,0.005518087063151441
frequency,Frequency MLP,direction,t060_p180,,60.0,180.0,140,9,0.06428571428571428,0.007142857142857143,0.007142857142857143,55,0.005518087063151441
frequency,Frequency MLP,direction,t120_p180,,120.0,180.0,140,9,0.06428571428571428,0.014285714285714285,0.014285714285714285,56,0.005518087063151441
frequency,Frequency MLP,direction,t030_p180,,30.0,180.0,140,8,0.05714285714285714,0.03571428571428571,0.0,57,0.004904966278356836
frequency,Frequency MLP,direction,t150_p180,,150.0,180.0,140,8,0.05714285714285714,0.02857142857142857,0.0,58,0.004904966278356836
frequency,Frequency MLP,direction,t030_p300,,30.0,300.0,140,7,0.05,0.014285714285714285,0.0,59,0.004291845493562232
frequency,Frequency MLP,direction,t120_p030,,120.0,30.0,140,6,0.04285714285714286,0.007142857142857143,0.0,60,0.003678724708767627
rect_ifft,Rect-IFFT MLP,direction,t090_p090,,90.0,90.0,140,68,0.4857142857142857,0.4857142857142857,0.4642857142857143,1,0.04091456077015644
rect_ifft,Rect-IFFT MLP,direction,t090_p330,,90.0,330.0,140,67,0.4785714285714286,0.36428571428571427,0.3,2,0.040312876052948254
rect_ifft,Rect-IFFT MLP,direction,t090_p000,,90.0,0.0,140,66,0.4714285714285714,0.42142857142857143,0.36428571428571427,3,0.039711191335740074
rect_ifft,Rect-IFFT MLP,direction,t090_p150,,90.0,150.0,140,65,0.4642857142857143,0.30714285714285716,0.2714285714285714,4,0.03910950661853189
rect_ifft,Rect-IFFT MLP,direction,t090_p180,,90.0,180.0,140,63,0.45,0.44285714285714284,0.4142857142857143,5,0.03790613718411552
rect_ifft,Rect-IFFT MLP,direction,t090_p030,,90.0,30.0,140,59,0.42142857142857143,0.2857142857142857,0.2357142857142857,6,0.035499398315282794
rect_ifft,Rect-IFFT MLP,direction,t090_p120,,90.0,120.0,140,49,0.35,0.19285714285714287,0.15,7,0.029482551143200964
rect_ifft,Rect-IFFT MLP,direction,t090_p210,,90.0,210.0,140,46,0.32857142857142857,0.2571428571428571,0.24285714285714285,8,0.027677496991576414
rect_ifft,Rect-IFFT MLP,direction,t090_p240,,90.0,240.0,140,45,0.32142857142857145,0.11428571428571428,0.1,9,0.02707581227436823
rect_ifft,Rect-IFFT MLP,direction,t090_p270,,90.0,270.0,140,41,0.29285714285714287,0.29285714285714287,0.21428571428571427,10,0.0246690734055355
rect_ifft,Rect-IFFT MLP,direction,t120_p120,,120.0,120.0,140,41,0.29285714285714287,0.0,0.0,11,0.0246690734055355
