condition,realization,channel,frequency_ghz,gain_error_db,phase_error_deg
cal_0p5db_5deg,draw0,theta,0.10000000149011612,-0.49648187273899075,-5.0
cal_0p5db_5deg,draw0,theta,0.10999999940395355,-0.5,-4.183547617392697
cal_0p5db_5deg,draw0,theta,0.11999999731779099,-0.4998164344885902,-3.3450512125676917
cal_0p5db_5deg,draw0,theta,0.12999999523162842,-0.4951437681394575,-2.5004502498139507
cal_0p5db_5deg,draw0,theta,0.14000000059604645,-0.48528197922235417,-1.6656802773268593
cal_0p5db_5deg,draw0,theta,0.15000000596046448,-0.4696511871103939,-0.8561539838175108
cal_0p5db_5deg,draw0,theta,0.1599999964237213,-0.4478209074711484,-0.08627404469157275
cal_0p5db_5deg,draw0,theta,0.17000000178813934,-0.4195345125745746,0.6310039188263326
cal_0p5db_5deg,draw0,theta,0.18000000715255737,-0.3847277785041279,1.2845422885632778
cal_0p5db_5deg,draw0,theta,0.1899999976158142,-0.34354062768249216,1.8653133121596537
cal_0p5db_5deg,draw0,theta,0.20000000298023224,-0.2963214419908009,2.3666023786788273
cal_0p5db_5deg,draw0,theta,0.20999999344348907,-0.24362361779748198,2.7841170535992408
cal_0p5db_5deg,draw0,theta,0.2199999988079071,-0.18619434703767843,3.1160002539021923
cal_0p5db_5deg,draw0,theta,0.23000000417232513,-0.1249559249349674,3.362749989844377
cal_0p5db_5deg,draw0,theta,0.23999999463558197,-0.06098019165815456,3.527051983300735
cal_0p5db_5deg,draw0,theta,0.25,0.004543000856795484,3.6135350272004487
cal_0p5db_5deg,draw0,theta,0.25999999046325684,0.07034215660722036,3.628462025861761
cal_0p5db_5deg,draw0,theta,0.27000001072883606,0.13510399385284688,3.579372123147806
cal_0p5db_5deg,draw0,theta,0.2800000011920929,0.197515300839938,3.4746910829065114
cal_0p5db_5deg,draw0,theta,0.28999999165534973,0.25630520704461224,3.323328064427696
cal_0p5db_5deg,draw0,theta,0.30000001192092896,0.31028626400524023,3.1342770995751397
cal_0p5db_5deg,draw0,theta,0.3100000023841858,0.3583927715027232,2.9162409287632625
cal_0p5db_5deg,draw0,theta,0.3199999928474426,0.3997148906464688,2.6772934267884034
cal_0p5db_5deg,draw0,theta,0.33000001311302185,0.43352725097968586,2.4245947174780094
cal_0p5db_5deg,draw0,theta,0.3400000035762787,0.4593109771416265,2.1641703397568905
cal_0p5db_5deg,draw0,theta,0.3499999940395355,0.47676832278722125,1.900762614802578
cal_0p5db_5deg,draw0,theta,0.36000001430511475,0.4858293943868412,1.637758822669927
cal_0p5db_5deg,draw0,theta,0.3700000047683716,0.48665076285209863,1.3771970891229859
cal_0p5db_5deg,draw0,theta,0.3799999952316284,0.47960608344964534,1.1198471780308665
cal_0p5db_5deg,draw0,theta,0.38999998569488525,0.4652691606826693,0.8653598492750819
cal_0p5db_5deg,draw0,theta,0.4000000059604645,0.44439019154274323,0.6124752360493764
cal_0p5db_5deg,draw0,theta,0.4099999964237213,0.4178661854258507,0.3592779626812293
cal_0p5db_5deg,draw0,theta,0.41999998688697815,0.3867067811152636,0.10348458687350581
cal_0p5db_5deg,draw0,theta,0.4300000071525574,0.35199685146285153,-0.15725249639747152
cal_0p5db_5deg,draw0,theta,0.4399999976158142,0.3148573978905822,-0.4250412444816446
cal_0p5db_5deg,draw0,theta,0.44999998807907104,0.27640628525395844,-0.7014627138590224
cal_0p5db_5deg,draw0,theta,0.46000000834465027,0.23772035133373678,-0.987315958415522
cal_0p5db_5deg,draw0,theta,0.4699999988079071,0.19980034539402336,-1.2824090670002866
cal_0p5db_5deg,draw0,theta,0.47999998927116394,0.16354001071596977,-1.5854080588382249
