model_tag,model,fold,seed,condition,family,x_value,x_label,realization,object_code,direction_count,great_circle_mae_deg,top1_acc
matched_rect91_frequency,Frequency,1,70,clean,clean,0.0,clean,clean,b827,60,20.154549407958985,0.8
matched_rect91_frequency,Frequency,1,70,clean,clean,0.0,clean,clean,b871,60,20.289407285054526,0.85
matched_rect91_frequency,Frequency,1,70,clean,clean,0.0,clean,clean,b905,60,15.076455084482829,0.85
matched_rect91_frequency,Frequency,1,70,clean,clean,0.0,clean,clean,bb7d,60,86.45924123128255,0.16666666666666666
matched_rect91_frequency,Frequency,1,70,clean,clean,0.0,clean,clean,bbc6,60,50.25366415977478,0.4666666666666667
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,minus,b827,60,44.5964471022288,0.36666666666666664
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,minus,b871,60,34.37493503888448,0.5
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,minus,b905,60,50.71390021642049,0.31666666666666665
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,minus,bb7d,60,90.39338258107503,0.21666666666666667
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,minus,bbc6,60,57.27212546666463,0.35
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,plus,b827,60,54.65131533940633,0.36666666666666664
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,plus,b871,60,42.97570454279582,0.4666666666666667
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,plus,b905,60,41.85129834810893,0.4666666666666667
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,plus,bb7d,60,85.31525897979736,0.11666666666666667
matched_rect91_frequency,Frequency,1,70,phase_15deg,global_phase,15.0,15 deg,plus,bbc6,60,58.89505599339803,0.2833333333333333
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,minus,b827,60,68.2821300347646,0.13333333333333333
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,minus,b871,60,63.22367078463237,0.15
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,minus,b905,60,70.13813851674398,0.15
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,minus,bb7d,60,87.53521976470947,0.06666666666666667
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,minus,bbc6,60,75.09465317726135,0.16666666666666666
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,plus,b827,60,70.0078192392985,0.2
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,plus,b871,60,68.80763481458028,0.21666666666666667
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,plus,b905,60,69.3154897848765,0.25
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,plus,bb7d,60,88.91366359392802,0.03333333333333333
matched_rect91_frequency,Frequency,1,70,phase_30deg,global_phase,30.0,30 deg,plus,bbc6,60,62.54770544370015,0.21666666666666667
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,minus,b827,60,86.1412658850352,0.05
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,minus,b871,60,82.84394717216492,0.03333333333333333
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,minus,b905,60,84.50537568728129,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,minus,bb7d,60,91.44853331247965,0.0
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,minus,bbc6,60,93.05959723790487,0.03333333333333333
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,plus,b827,60,89.87601776123047,0.06666666666666667
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,plus,b871,60,87.38374807039897,0.08333333333333333
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,plus,b905,60,89.55149205525716,0.05
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,plus,bb7d,60,89.32750871976216,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_60deg,global_phase,60.0,60 deg,plus,bbc6,60,87.26336590449016,0.08333333333333333
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,minus,b827,60,94.71369058291117,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,minus,b871,60,93.3514186223348,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,minus,b905,60,91.30461506843567,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,minus,bb7d,60,88.74343665440877,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,minus,bbc6,60,97.71648060480753,0.0
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,plus,b827,60,88.7064646879832,0.03333333333333333
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,plus,b871,60,90.1286781946818,0.03333333333333333
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,plus,b905,60,92.60868458747863,0.016666666666666666
matched_rect91_frequency,Frequency,1,70,phase_90deg,global_phase,90.0,90 deg,plus,bb7d,60,90.175293080012,0.016666666666666666
