condition,family,x_value,x_label,object_count,hrrp_minus_frequency_gce_deg,gce_delta_ci95_low_deg,gce_delta_ci95_high_deg,hrrp_minus_frequency_top1,top1_delta_ci95_low,top1_delta_ci95_high
cal_0p5db_5deg,calibration_ripple,0.5,0.5 dB / 5 deg,20,0.9488821948520725,-0.7380021613164599,2.8613301549610632,-0.009920634920634915,-0.02674603174603173,0.004761904761904791
cal_1db_10deg,calibration_ripple,1.0,1 dB / 10 deg,20,2.1340018149027755,0.2948044749328064,4.145719149826067,-0.024404761904761874,-0.042896825396825364,-0.006824404761904789
cal_2db_20deg,calibration_ripple,2.0,2 dB / 20 deg,20,5.381269175590032,3.898603401715795,6.775949256976444,-0.06805555555555555,-0.08162698412698412,-0.053968253968253964
clean,clean,0.0,clean,20,0.32426835979733887,-1.3264687781248794,2.184184277710458,-0.0058333333333333804,-0.02333333333333338,0.009761904761904718
phase_15deg,global_phase,15.0,15 deg,20,0.42606709542728927,-0.6397198774332082,1.5224300876515307,-0.0011904761904761938,-0.01214434523809526,0.00875148809523799
phase_180deg,global_phase,180.0,180 deg,20,-2.2556370108468213,-3.157626146574819,-1.3740630418743447,0.0020238095238095236,0.0009523809523809523,0.0030952380952380945
phase_30deg,global_phase,30.0,30 deg,20,-0.00037001944723868974,-0.677232332462362,0.7040596250721372,0.005952380952380961,-0.0014285714285714208,0.012380952380952387
phase_60deg,global_phase,60.0,60 deg,20,0.016940303586776652,-0.645785518739907,0.6916439475842939,0.005833333333333334,0.0006547619047619013,0.011190476190476192
phase_90deg,global_phase,90.0,90 deg,20,-0.17395905017852797,-0.6395478492904296,0.2838012411878293,-0.0021428571428571417,-0.00422767857142857,-0.00011904761904761837
range_10cm,range_delay,10.0,10 cm,20,-1.5377180152280006,-2.132731245564566,-0.9209822267989318,0.002380952380952381,0.0007142857142857142,0.0041666666666666675
range_1cm,range_delay,1.0,1 cm,20,0.2441866364365552,-0.7585475805600485,1.2060065202869144,0.001309523809523805,-0.008334821428571443,0.0113705357142856
range_2cm,range_delay,2.0,2 cm,20,-1.0205399790831975,-1.9321334776594532,-0.1428504943932841,0.008273809523809527,0.0008928571428571438,0.015892857142857146
range_5cm,range_delay,5.0,5 cm,20,-1.3444743878500787,-1.9266106319157839,-0.7878659902172395,0.0016071428571428602,-0.0014285714285714266,0.004345238095238099
snr_0db,receiver_awgn,0.0,0 dB,20,3.5955755463479058,2.2196118491793473,4.879902606939513,-0.03591269841269841,-0.044523809523809514,-0.027698412698412694
snr_10db,receiver_awgn,10.0,10 dB,20,9.153705959017316,6.645770819696171,11.604148572703199,-0.11845238095238098,-0.1428968253968254,-0.09432539682539684
snr_20db,receiver_awgn,20.0,20 dB,20,2.8790988055108073,1.1024014453367583,4.904212150588867,-0.04392857142857139,-0.06261904761904755,-0.027142857142857135
snr_30db,receiver_awgn,30.0,30 dB,20,1.5524918377210213,-0.3776856727742032,3.6611816412995686,-0.013055555555555537,-0.0314285714285714,0.0034126984126983785
snr_5db,receiver_awgn,5.0,5 dB,20,6.350679082454194,4.130066014265256,8.603709307727357,-0.08238095238095236,-0.10095238095238095,-0.06412599206349213
