protocol,fold,seed,object_code,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
id,0,70,b7c1,30.0,0.0,0.0,30.000001907348633,30.000001907348633,30.0,0.0,1.0,0.0,-1.0
id,0,70,b7c1,30.0,180.0,0.0,60.000003814697266,60.000003814697266,0.0,180.0,1.0,0.0,-1.0
id,0,70,b7c1,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7c1,60.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7c1,90.0,120.0,0.0,120.00000762939453,120.00000762939453,0.0,120.0,1.0,0.0,-1.0
id,0,70,b7c1,90.0,300.0,180.0,60.000003814697266,-119.99999618530273,0.0,-120.0,0.0,0.0,0.0
id,0,70,b7c1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7c1,120.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7c1,150.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7c1,150.0,240.0,0.0,14.870942115783691,14.870942115783691,0.0,30.0,1.0,0.0,-1.0
id,0,70,b7fd,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7fd,30.0,210.0,128.68218994140625,60.000003814697266,-68.68218612670898,-120.0,120.0,0.0,0.0,0.0
id,0,70,b7fd,60.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b7fd,60.0,270.0,154.0949249267578,113.5481185913086,-40.54680633544922,-60.0,0.0,0.0,0.0,0.0
id,0,70,b7fd,90.0,150.0,180.0,0.0,-180.0,0.0,-180.0,0.0,1.0,1.0
id,0,70,b7fd,90.0,330.0,120.00000762939453,120.00000762939453,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,b7fd,120.0,30.0,0.0,82.81924438476562,82.81924438476562,60.0,60.0,1.0,0.0,-1.0
id,0,70,b7fd,120.0,210.0,0.0,128.6822052001953,128.6822052001953,60.0,120.0,1.0,0.0,-1.0
id,0,70,b7fd,150.0,90.0,0.0,120.00000762939453,120.00000762939453,120.0,0.0,1.0,0.0,-1.0
id,0,70,b7fd,150.0,270.0,0.0,120.00000762939453,120.00000762939453,120.0,0.0,1.0,0.0,-1.0
id,0,70,b80b,30.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b80b,30.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b80b,60.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b80b,60.0,300.0,97.18075561523438,0.0,-97.18075561523438,0.0,-120.0,0.0,1.0,1.0
id,0,70,b80b,90.0,0.0,180.0,0.0,-180.0,0.0,-180.0,0.0,1.0,1.0
id,0,70,b80b,90.0,180.0,0.0,180.0,180.0,0.0,180.0,1.0,0.0,-1.0
id,0,70,b80b,120.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b80b,120.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b80b,150.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b80b,150.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b812,30.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b812,30.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,b812,60.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
