object_code,sample_id,theta_deg,phi_deg,frequency_ghz,etheta_real,etheta_imag,ephi_real,ephi_imag
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.1,-0.0864387304,-0.0181144625,-1.30108729e-05,-0.00018802422
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.11,-0.16726622,0.0149138523,-0.000121478733,-0.000159616116
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.12,-0.249351874,0.0929979905,-0.000166896745,-3.92148177e-05
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.13,-0.28207466,0.210401088,-9.08841612e-05,0.000109421759
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.14,-0.22439824,0.33885169,9.31128961e-05,0.000177603637
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.15000001,-0.0750939846,0.426941872,0.000292884506,8.66750925e-05
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.16,0.123931587,0.424094409,0.000381866528,-0.000147956322
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.17,0.304263949,0.313420683,0.000277683779,-0.00041538768
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.18000001,0.402267814,0.125129774,-2.98193186e-07,-0.000571857148
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.19,0.389443755,-0.0779746398,-0.000338469428,-0.000525379321
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.2,0.283267558,-0.232575983,-0.000595149992,-0.000284627458
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.20999999,0.132850498,-0.304004103,-0.000676419411,5.70222546e-05
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.22,-0.00948586222,-0.295750618,-0.000570806442,0.000382097205
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.23,-0.111975051,-0.237149119,-0.000330429204,0.000605427835
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.23999999,-0.169797644,-0.161114678,-2.73152964e-05,0.000692381698
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.25,-0.194948494,-0.0875978991,0.00027650391,0.000643104198
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.25999999,-0.200706884,-0.020953726,0.000531657541,0.000472668995
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.27000001,-0.192261234,0.0418405794,0.000693859183,0.000208270038
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.28,-0.167490333,0.101446889,0.000728237501,-0.000103140294
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.28999999,-0.123723589,0.152318701,0.000626423745,-0.000397986209
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.30000001,-0.0634869561,0.185649917,0.000416270253,-0.000618208724
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.31,0.00478621246,0.194933757,0.000147684957,-0.000735141744
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.31999999,0.0702863485,0.179462075,-0.000136007366,-0.000751481333
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.33000001,0.127385125,0.157874703,-0.000417592004,-0.000737619644
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.34,0.182947844,0.136753708,-0.000745476515,-0.000704399194
