label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc
frequency,id,0,70,b7c1,10,18.00000114440918,0.0,18.0,0.8
frequency,id,0,70,b7fd,10,27.76901865005493,6.0,27.0,0.7
frequency,id,0,70,b80b,10,18.0,0.0,18.0,0.9
frequency,id,0,70,b812,10,0.0,0.0,0.0,1.0
frequency,id,0,70,b827,10,0.0,0.0,0.0,1.0
frequency,id,0,70,b871,10,18.0,0.0,18.0,0.9
frequency,id,0,70,b8ed,10,33.7180778503418,0.0,48.0,0.6
frequency,id,0,70,b905,10,20.59050750732422,0.0,21.0,0.8
frequency,id,0,70,b943,10,18.0,0.0,18.0,0.9
frequency,id,0,70,b974,10,5.131781005859375,0.0,6.0,0.9
frequency,id,0,70,b979,10,84.50125179290771,45.0,81.0,0.1
frequency,id,0,70,b97b,10,35.355961608886716,12.0,27.0,0.7
frequency,id,0,70,b9e6,10,12.000000762939454,0.0,12.0,0.8
frequency,id,0,70,ba0f,10,96.11789407730103,39.0,90.0,0.1
frequency,id,0,70,baa9,10,0.0,0.0,0.0,1.0
frequency,id,0,70,bb26,10,72.25464324951172,36.0,72.0,0.3
frequency,id,0,70,bb7c,10,6.000000381469727,0.0,6.0,0.9
frequency,id,0,70,bb7d,10,93.40478782653808,42.0,96.0,0.2
frequency,id,0,70,bbc6,10,39.868217658996585,15.0,30.0,0.5
frequency,id,0,70,bc2c,10,62.628394508361815,24.0,81.0,0.2
frequency,id,0,71,b7c1,10,6.000000381469727,0.0,6.0,0.9
frequency,id,0,71,b7fd,10,31.30920867919922,18.0,21.0,0.5
frequency,id,0,71,b80b,10,36.0,0.0,36.0,0.8
frequency,id,0,71,b812,10,18.0,0.0,18.0,0.9
frequency,id,0,71,b827,10,18.0,0.0,18.0,0.9
frequency,id,0,71,b871,10,18.0,0.0,18.0,0.9
frequency,id,0,71,b8ed,10,30.000001907348633,0.0,48.0,0.7
frequency,id,0,71,b905,10,20.59050750732422,0.0,21.0,0.8
frequency,id,0,71,b943,10,33.458726501464845,6.0,33.0,0.7
frequency,id,0,71,b974,10,0.0,0.0,0.0,1.0
frequency,id,0,71,b979,10,58.368926429748534,21.0,69.0,0.1
frequency,id,0,71,b97b,10,18.0,0.0,18.0,0.9
frequency,id,0,71,b9e6,10,12.000000762939454,0.0,12.0,0.8
frequency,id,0,71,ba0f,10,83.79950542449951,45.0,63.0,0.2
frequency,id,0,71,baa9,10,36.0,0.0,36.0,0.8
frequency,id,0,71,bb26,10,92.19536514282227,51.0,75.0,0.3
frequency,id,0,71,bb7c,10,12.000000762939454,0.0,12.0,0.9
frequency,id,0,71,bb7d,10,87.71337089538574,36.0,93.0,0.2
